LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,STOCKFPOP,TOT,NBR,A,2006,5031630,
AUS,STOCKFPOP,TOT,NBR,A,2007,5233250,
AUS,STOCKFPOP,TOT,NBR,A,2008,5477900,
AUS,STOCKFPOP,TOT,NBR,A,2009,5729880,
AUS,STOCKFPOP,TOT,NBR,A,2010,5881360,
AUS,STOCKFPOP,TOT,NBR,A,2011,6018180,
AUS,STOCKFPOP,TOT,NBR,A,2012,6214010,
AUS,STOCKFPOP,TOT,NBR,A,2013,6408740,
AUS,STOCKFPOP,TOT,NBR,A,2014,6570240,
AUS,STOCKFPOP,TOT,NBR,A,2015,6729730,
AUS,STOCKFPOP,TOT,NBR,A,2016,6912110,
AUS,STOCKFPOP,TOT,NBR,A,2017,7139440,
AUS,STOCKFPOP,TOT,NBR,A,2018,7333420,
AUS,STOCKFPOP,TOT,NBR,A,2019,7533010,
AUS,STOCKFPOP,TOT,NBR,A,2020,7653180,
AUT,STOCKFPOP,TOT,NBR,A,2006,1195156,
AUT,STOCKFPOP,TOT,NBR,A,2007,1215695,
AUT,STOCKFPOP,TOT,NBR,A,2008,1235678,
AUT,STOCKFPOP,TOT,NBR,A,2009,1260277,
AUT,STOCKFPOP,TOT,NBR,A,2010,1275487,
AUT,STOCKFPOP,TOT,NBR,A,2011,1294706,
AUT,STOCKFPOP,TOT,NBR,A,2012,1323083,
AUT,STOCKFPOP,TOT,NBR,A,2013,1364771,
AUT,STOCKFPOP,TOT,NBR,A,2014,1414624,
AUT,STOCKFPOP,TOT,NBR,A,2015,1484595,
AUT,STOCKFPOP,TOT,NBR,A,2016,1594723,
AUT,STOCKFPOP,TOT,NBR,A,2017,1656266,
AUT,STOCKFPOP,TOT,NBR,A,2018,1697123,
AUT,STOCKFPOP,TOT,NBR,A,2019,1728554,
AUT,STOCKFPOP,TOT,NBR,A,2020,1765311,
BEL,STOCKFPOP,TOT,NBR,A,2006,1268915,
BEL,STOCKFPOP,TOT,NBR,A,2007,1319302,
BEL,STOCKFPOP,TOT,NBR,A,2008,1380323,
BEL,STOCKFPOP,TOT,NBR,A,2009,1443937,
BEL,STOCKFPOP,TOT,NBR,A,2010,1503806,
BEL,STOCKFPOP,TOT,NBR,A,2011,1628793,
BEL,STOCKFPOP,TOT,NBR,A,2012,1643614,
BEL,STOCKFPOP,TOT,NBR,A,2013,1748331,
BEL,STOCKFPOP,TOT,NBR,A,2014,1775561,
BEL,STOCKFPOP,TOT,NBR,A,2015,1786080,
BEL,STOCKFPOP,TOT,NBR,A,2016,1849287,
BEL,STOCKFPOP,TOT,NBR,A,2017,1893433,
BEL,STOCKFPOP,TOT,NBR,A,2018,1932797,
BEL,STOCKFPOP,TOT,NBR,A,2019,1973007,
BEL,STOCKFPOP,TOT,NBR,A,2020,2056415,
CAN,STOCKFPOP,TOT,NBR,A,2006,6186950,
CAN,STOCKFPOP,TOT,NBR,A,2011,6775765,
CAN,STOCKFPOP,TOT,NBR,A,2016,7540830,
CZE,STOCKFPOP,TOT,NBR,A,2011,745193,
DNK,STOCKFPOP,TOT,NBR,A,2006,350436,
DNK,STOCKFPOP,TOT,NBR,A,2007,360902,
DNK,STOCKFPOP,TOT,NBR,A,2008,378665,
DNK,STOCKFPOP,TOT,NBR,A,2009,401771,
DNK,STOCKFPOP,TOT,NBR,A,2010,414422,
DNK,STOCKFPOP,TOT,NBR,A,2011,428904,
DNK,STOCKFPOP,TOT,NBR,A,2012,441538,
DNK,STOCKFPOP,TOT,NBR,A,2013,456386,
DNK,STOCKFPOP,TOT,NBR,A,2014,476059,
DNK,STOCKFPOP,TOT,NBR,A,2015,501057,
DNK,STOCKFPOP,TOT,NBR,A,2016,540503,
DNK,STOCKFPOP,TOT,NBR,A,2017,570581,
DNK,STOCKFPOP,TOT,NBR,A,2018,591678,
DNK,STOCKFPOP,TOT,NBR,A,2019,607622,
DNK,STOCKFPOP,TOT,NBR,A,2020,614353,
FIN,STOCKFPOP,TOT,NBR,A,2006,176612,
FIN,STOCKFPOP,TOT,NBR,A,2007,187910,
FIN,STOCKFPOP,TOT,NBR,A,2008,202528,
FIN,STOCKFPOP,TOT,NBR,A,2009,218626,
FIN,STOCKFPOP,TOT,NBR,A,2010,233183,
FIN,STOCKFPOP,TOT,NBR,A,2011,248135,
FIN,STOCKFPOP,TOT,NBR,A,2012,266148,
FIN,STOCKFPOP,TOT,NBR,A,2013,285471,
FIN,STOCKFPOP,TOT,NBR,A,2014,304279,
FIN,STOCKFPOP,TOT,NBR,A,2015,321977,
FIN,STOCKFPOP,TOT,NBR,A,2016,337162,
FIN,STOCKFPOP,TOT,NBR,A,2017,357541,
FIN,STOCKFPOP,TOT,NBR,A,2018,372802,
FIN,STOCKFPOP,TOT,NBR,A,2019,387215,
