"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.2482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.2449,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.2153,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.1706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.1293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.0971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.0654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.0354,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.023,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.0548,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2005-12",100.1273,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-01",100.2234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-02",100.3756,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-03",100.5654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-04",100.7708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-05",100.9633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.1445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.3282,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.5303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.7538,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.9804,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-11",102.202,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2006-12",102.418,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-01",102.6215,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-02",102.8286,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-03",103.0161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-04",103.1459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-05",103.1943,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-06",103.1417,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-07",102.997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-08",102.7997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-09",102.5722,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-10",102.2987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-11",101.9622,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2007-12",101.5785,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-01",101.1403,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-02",100.6481,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-03",100.0929,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-04",99.41428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-05",98.60677,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-06",97.699,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-07",96.75937,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-08",95.86549,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-09",95.04208,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-10",94.33157,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-11",93.80685,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2008-12",93.4921,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-01",93.38659,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-02",93.54255,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-03",93.97594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-04",94.67297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-05",95.57128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-06",96.6235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-07",97.76936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-08",98.91091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-09",99.95306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-10",100.8046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-11",101.4033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2009-12",101.7673,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-01",101.9421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-02",101.987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2010-03",101.9317,
